Epoch [217] | Time: 12.3024225s | Clustering Loss: 0.3760381 | ResNet Loss: 0.0022661
####################### 
Epoch [218] | Time: 12.3032200s | Clustering Loss: 0.4624390 | ResNet Loss: 0.0022558
####################### 
Epoch [219] | Time: 12.2809498s | Clustering Loss: 0.4893833 | ResNet Loss: 0.0022440
####################### 
Epoch [220] | Time: 12.2986712s | Clustering Loss: 0.4456664 | ResNet Loss: 0.0022362
####################### 
Epoch [221] | Time: 12.2972884s | Clustering Loss: 0.4686102 | ResNet Loss: 0.0022243
####################### 
Epoch [222] | Time: 12.2834184s | Clustering Loss: 0.4649732 | ResNet Loss: 0.0022136
####################### 
Epoch [223] | Time: 12.2967656s | Clustering Loss: 0.4395674 | ResNet Loss: 0.0022046
####################### 
Epoch [224] | Time: 12.2912269s | Clustering Loss: 0.4200233 | ResNet Loss: 0.0021936
####################### 
Epoch [225] | Time: 12.2888303s | Clustering Loss: 0.3508432 | ResNet Loss: 0.0021854
####################### 
Epoch [226] | Time: 12.2891798s | Clustering Loss: 0.4560045 | ResNet Loss: 0.0021739
####################### 
Epoch [227] | Time: 12.2890723s | Clustering Loss: 0.3875467 | ResNet Loss: 0.0021648
####################### 
Epoch [228] | Time: 12.3013871s | Clustering Loss: 0.3906316 | ResNet Loss: 0.0021562
####################### 
Epoch [229] | Time: 12.2910247s | Clustering Loss: 0.3880343 | ResNet Loss: 0.0021474
####################### 
Epoch [230] | Time: 12.2682338s | Clustering Loss: 0.3940468 | ResNet Loss: 0.0021370
####################### 
Epoch [231] | Time: 12.2611089s | Clustering Loss: 0.3353314 | ResNet Loss: 0.0021276
####################### 
Epoch [232] | Time: 12.2728243s | Clustering Loss: 0.4032221 | ResNet Loss: 0.0021207
####################### 
Epoch [233] | Time: 12.2751272s | Clustering Loss: 0.3583031 | ResNet Loss: 0.0021108
####################### 
Epoch [234] | Time: 12.2778254s | Clustering Loss: 0.3655760 | ResNet Loss: 0.0021013
####################### 
Epoch [235] | Time: 12.3029065s | Clustering Loss: 0.4046929 | ResNet Loss: 0.0020930
####################### 
Epoch [236] | Time: 12.3011966s | Clustering Loss: 0.4207741 | ResNet Loss: 0.0020855
####################### 
